ID;Genero;rango_edad;distrito;nivel_educativo;situacion_laboral;nivel_socioeconomico;variedad_productos_financieros;conceptos_ahorro;Tarjeto de Debito;depósitos en cuentas de ahorro/corriente;Préstamos personales;Tarjeta de crédito;Compras en cuotas con tarjeta de crédito;No he utilizado ninguno;prestamos_garantia;inversion_fondos_comunes;diferencias_creditos;leasing;arrendamiento_financiero;creditos_educativos;ventajas_desventajas;menores_edad;mayores_edad;responsable_desiciones;presupuesto;presupuesto_familiar;plan_presupuesto_familiar
11;Masculino;18 - 25 años;Distrito 1;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Si;Si;Si;No;Si;Si;Si;1;3;Yo mismo/a;Si;Si;Algunas veces
12;Masculino;18 - 25 años;Distrito 1;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;No estoy seguro/a;No;Si;Si;No;1;3;Yo mismo/a;Si;Si;La mayoría de las veces
13;Femenino;26 - 39 años;Distrito 1;Educación técnica o profesional;Empleado a tiempo completo;Medio;No estoy seguro/a;No estoy seguro/a;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No;Si;No estoy seguro/a;No;Si;No estoy seguro/a;2;3;Ambos, en colaboración;Si;Si;La mayoría de las veces
14;Masculino;26 - 39 años;Distrito 1;Postgrado;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;No;Si;Si;Si;Si;Si;Si;Ninguno;Ninguna;Yo mismo/a;Si;Si;Algunas veces
15;Masculino;18 - 25 años;Distrito 1;Educación secundaria;Empleado a tiempo parcial;Bajo;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No;No;Si;No estoy seguro/a;Ninguno;1;Yo mismo/a;Si;Si;Siempre
16;Femenino;18 - 25 años;Distrito 1;Educación secundaria;Estudiante;Medio;Si;No;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;No;No;No;Si;Si;No;No;Ninguno;3;Otro;Si;Si;Siempre
17;Femenino;26 - 39 años;Distrito 1;Educación universitaria;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;No;Si;No estoy seguro/a;No estoy seguro/a;No;No;3;Ninguna;Yo mismo/a;Si;Si;Algunas veces
18;Femenino;40 años o más;Distrito 1;Educación universitaria;Jubilado;Medio;No;Si;FALSO;FALSO;FALSO;FALSO;FALSO;VERDADERO;Si;No;No;No;No;Si;No estoy seguro/a;Ninguno;2;Yo mismo/a;Si;Si;La mayoría de las veces
19;Femenino;18 - 25 años;Distrito 1;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;No estoy seguro/a;Si;No estoy seguro/a;Si;Si;Si;Si;2;3;Otro;Si;No estoy seguro/a;La mayoría de las veces
20;Femenino;40 años o más;Distrito 1;Postgrado;Autónomo;Medio;No;No estoy seguro/a;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;No;Si;No;No;No;Si;No;2;2;Yo mismo/a;Si;No;La mayoría de las veces
21;Femenino;18 - 25 años;Distrito 1;Educación universitaria;Estudiante;Medio;No estoy seguro/a;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No estoy seguro/a;Si;No;No;Si;No;2;3;Yo mismo/a;Si;Si;La mayoría de las veces
22;Masculino;40 años o más;Distrito 1;Educación secundaria;Jubilado;Alto;No estoy seguro/a;Si;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;No;Si;No;No;Si;Si;Si;1;3;Yo mismo/a;Si;Si;Siempre
23;Masculino;40 años o más;Distrito 1;Educación universitaria;Desempleado;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;Si;No estoy seguro/a;No estoy seguro/a;Si;Si;Si;1;3;Yo mismo/a;Si;Si;La mayoría de las veces
24;Masculino;18 - 25 años;Distrito 1;Educación universitaria;Estudiante;Medio;Si;No estoy seguro/a;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No estoy seguro/a;No;Si;No;3;1;Otro;No;No estoy seguro/a;Algunas veces
25;Masculino;26 - 39 años;Distrito 1;Educación universitaria;Autónomo;Medio;No;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;Ninguno;1;Yo mismo/a;No;No;Nunca
26;Masculino;18 - 25 años;Distrito 1;Educación universitaria;Estudiante;Medio;Si;Si;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;No;No;No;Si;Si;Si;Ninguno;3;Otro;Si;Si;Siempre
27;Masculino;18 - 25 años;Distrito 1;Educación técnica o profesional;Desempleado;Medio;No;No;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;No;No estoy seguro/a;No estoy seguro/a;No;No;No estoy seguro/a;No estoy seguro/a;Ninguno;3;Yo mismo/a;No;No;Nunca
28;Masculino;40 años o más;Distrito 1;Postgrado;Empleado a tiempo completo;Alto;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;Si;Si;Si;Si;Ninguno;1;Yo mismo/a;Si;Si;Siempre
29;Masculino;26 - 39 años;Distrito 1;Educación secundaria;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;Ninguno;Ninguna;Yo mismo/a;Si;Si;La mayoría de las veces
30;Masculino;40 años o más;Distrito 1;Sin educación formal;Otro;Medio;No;No;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;No;No;3;2;Ambos, en colaboración;No;No;No tengo un plan
31;Femenino;18 - 25 años;Distrito 1;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;No estoy seguro/a;No estoy seguro/a;Si;Si;No estoy seguro/a;Si;No estoy seguro/a;Ninguno;2;Yo mismo/a;Si;Si;La mayoría de las veces
32;Masculino;18 - 25 años;Distrito 1;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;Si;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;Si;Si;No estoy seguro/a;Ninguno;2;Yo mismo/a;Si;Si;La mayoría de las veces
33;Femenino;40 años o más;Distrito 1;Postgrado;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;No estoy seguro/a;No;Si;Si;Ninguno;3;Ambos, en colaboración;Si;Si;Siempre
34;Femenino;18 - 25 años;Distrito 1;Educación universitaria;Estudiante;Medio;No;No estoy seguro/a;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;No;No;No estoy seguro/a;No estoy seguro/a;No;No estoy seguro/a;Si;Ninguno;3;Yo mismo/a;Si;No estoy seguro/a;Algunas veces
35;Femenino;18 - 25 años;Distrito 1;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;No estoy seguro/a;Si;No;Si;Si;3;3;Yo mismo/a;Si;Si;Algunas veces
36;Masculino;26 - 39 años;Distrito 1;Postgrado;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;No;Si;Si;Si;Si;Si;Ninguno;1;Ambos, en colaboración;Si;Si;La mayoría de las veces
37;Masculino;40 años o más;Distrito 1;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;Si;No;Si;Si;No;Si;Si;2;3;Ambos, en colaboración;Si;Si;La mayoría de las veces
38;Masculino;40 años o más;Distrito 1;Educación secundaria;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;No;Si;No;No;Si;Si;Ninguno;Ninguna;Yo mismo/a;Si;No;Algunas veces
39;Femenino;18 - 25 años;Distrito 1;Educación universitaria;Desempleado;Medio;No estoy seguro/a;No;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No;No;No;No;No;No;Ninguno;Ninguna;Yo mismo/a;Si;No;No tengo un plan
40;Masculino;26 - 39 años;Distrito 1;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;Si;Si;No;No;No;Si;2;3;Yo mismo/a;Si;No;No tengo un plan
41;Masculino;40 años o más;Distrito 1;Educación técnica o profesional;Jubilado;Medio;Si;Si;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;No;Si;No;Si;No;No;Ninguno;3;Ambos, en colaboración;No estoy seguro/a;No estoy seguro/a;Algunas veces
42;Femenino;26 - 39 años;Distrito 1;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;No estoy seguro/a;Si;Si;Si;No;Si;Si;Ninguno;3;Yo mismo/a;No estoy seguro/a;No estoy seguro/a;No tengo un plan
43;Femenino;40 años o más;Distrito 1;Educación universitaria;Empleado a tiempo parcial;Medio;No estoy seguro/a;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No estoy seguro/a;Si;No estoy seguro/a;No estoy seguro/a;Si;Si;1;3;Ambos, en colaboración;No;No;No tengo un plan
44;Masculino;40 años o más;Distrito 1;Postgrado;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;FALSO;FALSO;VERDADERO;VERDADERO;FALSO;No;No;Si;No;No estoy seguro/a;Si;No;1;1;Ambos, en colaboración;Si;Si;La mayoría de las veces
45;Femenino;26 - 39 años;Distrito 1;Educación secundaria;Empleado a tiempo completo;Medio;No estoy seguro/a;No estoy seguro/a;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;Si;No estoy seguro/a;No;No;No;Si;3;3;Yo mismo/a;No;No;No tengo un plan
46;Femenino;18 - 25 años;Distrito 1;Educación universitaria;Estudiante;Medio;No;No;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No estoy seguro/a;Si;No;No;Si;No;Ninguno;3;Otro;No estoy seguro/a;No estoy seguro/a;No tengo un plan
47;Masculino;26 - 39 años;Distrito 1;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;Si;Si;No estoy seguro/a;No estoy seguro/a;No;Si;1;1;Ambos, en colaboración;Si;Si;Algunas veces
48;Femenino;18 - 25 años;Distrito 1;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;Si;No estoy seguro/a;No;No;Si;Si;Ninguno;3;Yo mismo/a;Si;Si;Algunas veces
49;Masculino;18 - 25 años;Distrito 1;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;No estoy seguro/a;Si;Si;No;No;Si;Si;1;3;Yo mismo/a;Si;Si;La mayoría de las veces
50;Masculino;18 - 25 años;Distrito 1;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;FALSO;FALSO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;Si;No;No;Si;Ninguno;3;Yo mismo/a;Si;No;No tengo un plan
51;Femenino;40 años o más;Distrito 1;Postgrado;Empleado a tiempo parcial;Medio;No estoy seguro/a;Si;FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;Si;No;Si;Si;Si;Si;Si;1;Ninguna;Yo mismo/a;No;No;No tengo un plan
52;Masculino;40 años o más;Distrito 1;Educación universitaria;Autónomo;Bajo;No;Si;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Si;No estoy seguro/a;Si;No;No;No;No;3;2;Yo mismo/a;No;No;Nunca
53;Masculino;18 - 25 años;Distrito 1;Educación universitaria;Empleado a tiempo parcial;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;No estoy seguro/a;No;No;Si;Si;Ninguno;3;Yo mismo/a;Si;Si;La mayoría de las veces
54;Femenino;26 - 39 años;Distrito 1;Postgrado;Empleado a tiempo completo;Medio;Si;Si;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;No;Si;No;No;Si;Si;Si;Ninguno;3;Mi cónyuge o pareja;Si;Si;Siempre
55;Femenino;18 - 25 años;Distrito 1;Educación universitaria;Estudiante;Medio;No;No;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No estoy seguro/a;Si;No;No;No;No;Ninguno;3;Otro;No estoy seguro/a;No estoy seguro/a;No tengo un plan
56;Femenino;18 - 25 años;Distrito 1;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No;Si;Si;Si;Si;No estoy seguro/a;1;3;Yo mismo/a;No;No;No tengo un plan
57;Masculino;40 años o más;Distrito 1;Educación universitaria;Jubilado;Medio;No estoy seguro/a;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;VERDADERO;FALSO;Si;No estoy seguro/a;Si;Si;Si;Si;Si;Ninguno;1;Yo mismo/a;No estoy seguro/a;No;Algunas veces
58;Femenino;18 - 25 años;Distrito 1;Educación universitaria;Estudiante;Medio;Si;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;No estoy seguro/a;Si;Si;No estoy seguro/a;Ninguno;3;Yo mismo/a;Si;Si;Algunas veces
59;Femenino;18 - 25 años;Distrito 1;Educación universitaria;Empleado a tiempo parcial;Alto;Si;Si;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No;Ninguno;3;Otro;Si;Si;No tengo un plan
60;Masculino;26 - 39 años;Distrito 1;Educación secundaria;Autónomo;Alto;Si;Si;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;No estoy seguro/a;Si;Si;No estoy seguro/a;1;3;Yo mismo/a;Si;Si;Siempre
61;Masculino;40 años o más;Distrito 1;Educación secundaria;Autónomo;Medio;No;Si;FALSO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;Si;Si;No estoy seguro/a;Si;Si;Si;3;1;Yo mismo/a;Si;Si;Siempre
62;Masculino;40 años o más;Distrito 1;Educación técnica o profesional;Jubilado;Medio;Si;Si;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;No;Si;No;Si;Si;No;Ninguno;3;Ambos, en colaboración;No estoy seguro/a;No estoy seguro/a;Algunas veces
63;Masculino;26 - 39 años;Distrito 1;Postgrado;Empleado a tiempo parcial;Medio;No;Si;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No estoy seguro/a;No;No;No;Si;No;Ninguno;1;Yo mismo/a;Si;Si;Nunca
64;Femenino;40 años o más;Distrito 1;Educación técnica o profesional;Jubilado;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;No;Si;No;No;Si;Si;2;3;Yo mismo/a;Si;Si;La mayoría de las veces
66;Femenino;18 - 25 años;Distrito 1;Educación secundaria;Estudiante;Medio;No;No;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;No;Si;Si;No;Si;No;No estoy seguro/a;1;2;Yo mismo/a;No;No;Nunca
67;Masculino;26 - 39 años;Distrito 1;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;Si;Si;Si;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;Ninguno;2;Yo mismo/a;No;No;Algunas veces
68;Masculino;26 - 39 años;Distrito 1;Educación secundaria;Empleado a tiempo parcial;Medio;No estoy seguro/a;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No;No;No;No;No;No;Ninguno;3;Mi cónyuge o pareja;Si;Si;Algunas veces
69;Femenino;40 años o más;Distrito 1;Educación técnica o profesional;Empleado a tiempo completo;Alto;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;No estoy seguro/a;Si;Si;Si;Si;Si;3;2;Ambos, en colaboración;Si;Si;La mayoría de las veces
70;Masculino;26 - 39 años;Distrito 1;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;No;Si;Si;Si;3;3;Yo mismo/a;No;No;No tengo un plan
71;Masculino;40 años o más;Distrito 1;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;No estoy seguro/a;No estoy seguro/a;Si;No estoy seguro/a;3;2;Yo mismo/a;Si;Si;Siempre
72;Femenino;18 - 25 años;Distrito 1;Educación técnica o profesional;Estudiante;Medio;No;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;No;No;No;No;No;No estoy seguro/a;No;2;3;Otro;Si;Si;Nunca
73;Masculino;18 - 25 años;Distrito 1;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No;No;No;No;No;No;Si;Ninguno;1;Yo mismo/a;Si;Si;La mayoría de las veces
74;Femenino;40 años o más;Distrito 1;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;Si;No;No;Si;Si;Ninguno;3;Ambos, en colaboración;No;No;No tengo un plan
75;Femenino;40 años o más;Distrito 1;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;No;Si;No;No;Si;Si;Ninguno;3;Ambos, en colaboración;No;No;No tengo un plan
76;Masculino;18 - 25 años;Distrito 1;Educación universitaria;Estudiante;Bajo;Si;Si;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;Si;Ninguno;Ninguna;Yo mismo/a;Si;Si;Siempre
77;Femenino;18 - 25 años;Distrito 1;Sin educación formal;Desempleado;Bajo;No estoy seguro/a;No estoy seguro/a;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;No estoy seguro/a;Ninguno;Ninguna;Yo mismo/a;No estoy seguro/a;No estoy seguro/a;No tengo un plan
78;Masculino;18 - 25 años;Distrito 1;Educación secundaria;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;No;No;No;No;No;No;Ninguno;1;Yo mismo/a;Si;Si;Algunas veces
79;Masculino;18 - 25 años;Distrito 1;Educación secundaria;Empleado a tiempo completo;Medio;Si;No;VERDADERO;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;No;No;No;No;No estoy seguro/a;No estoy seguro/a;Si;Ninguno;2;Ambos, en colaboración;Si;No;No tengo un plan
80;Masculino;18 - 25 años;Distrito 1;Educación técnica o profesional;Empleado a tiempo completo;Bajo;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;No;No;No;No;Si;No estoy seguro/a;Ninguno;1;Yo mismo/a;No;No;No tengo un plan
81;Femenino;18 - 25 años;Distrito 1;Educación secundaria;Estudiante;Medio;No estoy seguro/a;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;Si;No;No;Si;Si;Si;2;2;Otro;Si;Si;Siempre
82;Femenino;18 - 25 años;Distrito 1;Postgrado;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;Si;Si;Si;Si;Si;Si;Ninguno;Ninguna;Yo mismo/a;Si;Si;Siempre
83;Masculino;18 - 25 años;Distrito 1;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;FALSO;FALSO;VERDADERO;VERDADERO;FALSO;No estoy seguro/a;No;No estoy seguro/a;Si;No estoy seguro/a;No;No estoy seguro/a;Ninguno;3;Yo mismo/a;Si;Si;Siempre
84;Masculino;18 - 25 años;Distrito 1;Educación secundaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;No;Si;Si;No;Si;No;No;1;2;Yo mismo/a;Si;No estoy seguro/a;Algunas veces
85;Femenino;18 - 25 años;Distrito 1;Educación universitaria;Empleado a tiempo parcial;Bajo;No estoy seguro/a;Si;FALSO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;FALSO;Si;Si;No;No;No;No;No;Ninguno;3;Yo mismo/a;No;No;No tengo un plan
86;Masculino;40 años o más;Distrito 1;Educación universitaria;Empleado a tiempo completo;Medio;Si;Si;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO;Si;Si;Si;No;No;Si;Si;1;3;Yo mismo/a;Si;Si;Siempre
87;Femenino;40 años o más;Distrito 1;Educación universitaria;Autónomo;Medio;Si;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;No;Si;Si;No estoy seguro/a;1;3;Yo mismo/a;Si;Si;La mayoría de las veces
88;Masculino;40 años o más;Distrito 1;Postgrado;Otro;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;Si;Si;Si;No;No;Si;Si;Ninguno;Ninguna;Yo mismo/a;Si;Si;Siempre
89;Masculino;18 - 25 años;Distrito 1;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;VERDADERO;FALSO;Si;Si;No estoy seguro/a;No;Si;No;Si;1;3;Ambos, en colaboración;Si;Si;Algunas veces
90;Femenino;18 - 25 años;Distrito 1;Educación universitaria;Estudiante;Medio;Si;Si;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;No estoy seguro/a;No;No;No;No;No;1;2;Ambos, en colaboración;No estoy seguro/a;No estoy seguro/a;No tengo un plan
91;Femenino;26 - 39 años;Distrito 1;Educación secundaria;Autónomo;Medio;Si;Si;VERDADERO;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;No;No;Si;No;No;No;No;3;2;Yo mismo/a;Si;Si;Siempre
92;Masculino;26 - 39 años;Distrito 1;Educación universitaria;Empleado a tiempo completo;Medio;No estoy seguro/a;Si;VERDADERO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;No estoy seguro/a;No;Si;Si;Ninguno;1;Yo mismo/a;No estoy seguro/a;No estoy seguro/a;Algunas veces
93;Masculino;40 años o más;Distrito 1;Postgrado;Empleado a tiempo parcial;Medio;Si;Si;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;Si;No;No;No;No;No;Si;Ninguno;Ninguna;Yo mismo/a;Si;Si;Siempre
94;Masculino;26 - 39 años;Distrito 1;Educación universitaria;Estudiante;Bajo;No;Si;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;Si;Si;Si;No estoy seguro/a;3;3;Ambos, en colaboración;Si;Si;La mayoría de las veces
95;Masculino;18 - 25 años;Distrito 1;Educación técnica o profesional;Empleado a tiempo completo;Medio;Si;Si;FALSO;VERDADERO;FALSO;FALSO;FALSO;FALSO;Si;Si;Si;No;No;No;No;3;Ninguna;Yo mismo/a;No;Si;Algunas veces
96;Femenino;40 años o más;Distrito 1;Postgrado;Autónomo;Alto;Si;Si;VERDADERO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;No estoy seguro/a;Si;Si;Si;Si;Si;Si;1;3;Ambos, en colaboración;Si;Si;La mayoría de las veces
97;Masculino;40 años o más;Distrito 1;Educación secundaria;Empleado a tiempo completo;Medio;Si;No estoy seguro/a;VERDADERO;VERDADERO;FALSO;FALSO;FALSO;FALSO;No estoy seguro/a;Si;No;No;No;No;No estoy seguro/a;2;3;Yo mismo/a;No;Si;La mayoría de las veces
